region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
180,G_Temporal_Mid-2-L,19.25,24.0769,113.5,0.5551946161486728,False
181,G_Temporal_Mid-2-R,18.5,31.4615,88.5,0.1303763047510235,False
182,G_Temporal_Mid-3-L,16.45,25.3077,93.5,0.18298614801067037,False
183,G_Temporal_Mid-3-R,11.5,13.7692,125.0,0.8672126263833664,False
184,G_Temporal_Mid-4-L,22.65,24.0769,123.0,0.8105899405419515,False
185,G_Temporal_Mid-4-R,13.5,18.1538,119.0,0.6966337441294184,False
186,G_Temporal_Inf-1-L,6.45,4.8462,115.0,0.5857227661941053,False
187,G_Temporal_Inf-1-R,6.55,9.3077,106.5,0.3894197975205207,False
188,G_Temporal_Inf-2-L,12.75,10.6923,137.5,0.7925247250492831,False
189,G_Temporal_Inf-2-R,7.6,11.7692,105.5,0.3573991067752663,False
190,G_Temporal_Inf-3-L,35.95,63.0,51.5,0.004009345007754171,True
